,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.0,tran_SchGtKttmmTtVt_29,Sch,Thu Jan 22 23:34:29 2026,False
1,-5.0,1.0,tran_SchGtKttmmTtVt_28,Sch,Thu Jan 22 23:34:28 2026,False
2,-5.0,1.0,tran_SchGtKttmmTtVt_27,Sch,Thu Jan 22 23:34:28 2026,False
3,-5.0,1.0,tran_SchGtKttmmTtVt_26,Sch,Thu Jan 22 23:34:28 2026,False
4,-5.0,1.0,tran_SchGtKttmmTtVt_25,Sch,Thu Jan 22 23:34:28 2026,False
5,-5.0,1.0,tran_SchGtKttmmTtVt_24,Sch,Thu Jan 22 23:34:28 2026,False
6,-5.0,1.0,tran_SchGtKttmmTtVt_23,Sch,Thu Jan 22 23:34:28 2026,False
7,-5.0,1.0,tran_SchGtKttmmTtVt_22,Sch,Thu Jan 22 23:34:28 2026,False
8,-5.0,1.0,tran_SchGtKttmmTtVt_21,Sch,Thu Jan 22 23:34:28 2026,False
9,-5.0,1.0,tran_SchGtKttmmTtVt_20,Sch,Thu Jan 22 23:34:28 2026,False
10,-5.0,1.0,tran_SchGtKttmmTtVt_19,Sch,Thu Jan 22 23:34:28 2026,False
11,-5.0,1.0,tran_SchGtKttmmTtVt_18,Sch,Thu Jan 22 23:34:27 2026,False
12,-5.0,1.0,tran_SchGtKttmmTtVt_17,Sch,Thu Jan 22 23:34:27 2026,False
13,-5.0,1.0,tran_SchGtKttmmTtVt_16,Sch,Thu Jan 22 23:34:27 2026,False
14,-5.0,1.0,tran_SchGtKttmmTtVt_15,Sch,Thu Jan 22 23:34:27 2026,False
15,-5.0,1.0,tran_SchGtKttmmTtVt_14,Sch,Thu Jan 22 23:34:27 2026,False
16,-5.0,1.0,tran_SchGtKttmmTtVt_13,Sch,Thu Jan 22 23:34:27 2026,False
17,-5.0,1.0,tran_SchGtKttmmTtVt_12,Sch,Thu Jan 22 23:34:27 2026,False
18,-5.0,1.0,tran_SchGtKttmmTtVt_11,Sch,Thu Jan 22 23:34:27 2026,False
19,-5.0,1.0,tran_SchGtKttmmTtVt_10,Sch,Thu Jan 22 23:34:27 2026,False
20,-5.0,1.0,tran_SchGtKttmmTtVt_9,Sch,Thu Jan 22 23:34:27 2026,False
21,-5.0,1.0,tran_SchGtKttmmTtVt_8,Sch,Thu Jan 22 23:34:27 2026,False
22,-5.0,1.0,tran_SchGtKttmmTtVt_7,Sch,Thu Jan 22 23:34:26 2026,False
23,-5.0,1.0,tran_SchGtKttmmTtVt_6,Sch,Thu Jan 22 23:34:26 2026,False
24,-5.0,1.0,tran_SchGtKttmmTtVt_5,Sch,Thu Jan 22 23:34:26 2026,False
25,-5.0,1.0,tran_SchGtKttmmTtVt_4,Sch,Thu Jan 22 23:34:26 2026,False
26,-5.0,1.0,tran_SchGtKttmmTtVt_3,Sch,Thu Jan 22 23:34:26 2026,False
27,-5.0,1.0,tran_SchGtKttmmTtVt_2,Sch,Thu Jan 22 23:34:26 2026,False
28,-5.0,1.0,tran_SchGtKttmmTtVt_1,Sch,Thu Jan 22 23:34:26 2026,False
29,-5.0,1.0,tran_SchGtKttmmTtVt,Sch,Thu Jan 22 23:34:26 2026,False
